id,cnpj,municipio,mesorregiao,setor,porte,natureza_juridica,capital_social,num_funcionarios,faturamento_anual_estimado,data_abertura,situacao,data_situacao
1,83.863.794/0265-42,Balneário Camboriú,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,14992.95,0,52743.98,2020-07-25,Ativa,
2,61.849.593/1034-13,Joinville,Norte Catarinense,Transporte e logística,MEI,Empresário Individual,7820.61,1,53657.1,2020-02-01,Ativa,
3,83.276.483/5030-56,Caçador,Oeste Catarinense,Serviços profissionais,MEI,Empresário Individual,8033.44,0,58242.09,2020-10-28,Ativa,
4,84.969.653/2871-01,Blumenau,Vale do Itajaí,Comércio varejista,Média,Sociedade Anônima Fechada,33116494.6,151,44787678.56,2021-05-20,Ativa,
5,84.514.627/0482-81,Joinville,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,144668.56,8,-1,2019-09-18,Suspensa,
6,01.543.039/1171-82,Caçador,Oeste Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,63493.74,3,-1,2021-03-25,Suspensa,
7,65.787.133/1509-83,Joinville,Norte Catarinense,Construção civil,MEI,Empresário Individual,17576.23,1,78541.04,2024-12-01,Ativa,
8,29.973.763/1165-66,Lages,Serrana,Comércio varejista,ME,Sociedade Limitada,33590.11,1,320838.28,2021-07-26,Ativa,
9,24.731.781/0801-32,Criciúma,Sul Catarinense,Transporte e logística,ME,Sociedade Limitada,150917.45,6,304365.31,2019-09-06,Ativa,
10,87.234.309/8050-09,Chapecó,Oeste Catarinense,Construção civil,EPP,Sociedade Limitada,2042640.65,34,1537501.58,2020-11-05,Ativa,
11,93.990.916/9985-43,Itajaí,Vale do Itajaí,Indústria metalúrgica,MEI,Empresário Individual,2522.12,0,16727.97,2024-09-11,Ativa,
12,84.251.354/2784-98,São José,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,9687.27,0,12642.77,2022-05-13,Ativa,
13,48.740.164/0052-42,Florianópolis,Grande Florianópolis,Agronegócio,MEI,Empresário Individual,6024.85,0,63226.75,2020-07-04,Ativa,
14,45.053.315/8692-32,Brusque,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,2429.63,0,49645.73,2020-04-03,Ativa,
15,21.607.337/5433-03,Videira,Oeste Catarinense,Agronegócio,EPP,Sociedade Limitada,3630346.25,31,3833796.04,2021-01-04,Ativa,
16,42.940.196/5569-81,Chapecó,Oeste Catarinense,Alimentação e bebidas,MEI,Empresário Individual,13188.15,1,58886.75,2022-12-09,Ativa,
17,14.846.564/8236-62,Chapecó,Oeste Catarinense,Tecnologia da informação,MEI,Empresário Individual,10878.49,0,37131.28,2019-01-07,Ativa,
18,87.214.895/1343-32,Balneário Camboriú,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,6451.36,1,66217.36,2022-05-29,Ativa,
19,16.328.708/3172-78,Florianópolis,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,8874.38,0,61565.87,2024-02-09,Ativa,
